FID,id1,aa,company,a_m,thesh,kal_dhmos,kal_dhm_enothta,kal_perif_enothta,kal_perifereia,epo,power_mw,katastash_code,katastash_descr,paratiriseis,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_AIOLIKA13.34511,34511,Γ-01329,ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΠΑΛΙΟΠΥΡΓΟΣ ΑΕ,ΑΔ-00981,ΠΑΛΙΟΠΥΡΓΟΣ,ΚΑΡΥΣΤΟΥ,"ΚΑΡΥΣΤΟΥ,ΚΑΦΗΡΕΩΣ",ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,13.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2006-01-24,2006-10-02,"MULTIPOLYGON (((24.551837993272752 38.023969738484325, 24.55792134876157 38.02233675938273, 24.56449930048332 38.02117836096181, 24.56700104750332 38.022311317611766, 24.571852071027557 38.02325411494794, 24.57586492714339 38.02298455454767, 24.5756238754709 38.020739506050255, 24.571960834855336 38.020985573213544, 24.56763829864543 38.020147480902956, 24.565063293571832 38.018753457314446, 24.557216334560675 38.020142152750985, 24.550955007790638 38.0218275994129, 24.551837993272752 38.023969738484325)))"
V_SDI_R_AIOLIKA13.34541,34541,Β-00141,ΕΛΛΗΝΙΚΗ ΑΙΟΛΙΚΗ ΕΝΕΡΓΕΙΑΚΗ ΑΕ,ΑΔ-00269,ΡΑΧΗ ΛΥΚΟΥ/ΦΡΑΣΟΥΡΙ,ΘΗΒΑΙΩΝ,ΠΛΑΤΑΙΩΝ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,25.5,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-12-27,"MULTIPOLYGON (((23.15909838061065 38.19793853566824, 23.165733290655634 38.19756228933847, 23.168293763246513 38.196252038481845, 23.184502408170605 38.19633689780144, 23.194001449709397 38.19396825733333, 23.205890357516452 38.19313902082727, 23.206832716963742 38.19301110647346, 23.211591498450687 38.19139840210072, 23.212752765172198 38.19182977459595, 23.21276937889952 38.19039241502021, 23.21074774213172 38.190116583846496, 23.20706051642152 38.19138050804988, 23.20607808384456 38.19162531399455, 23.1913092149613 38.19309447402012, 23.184517024595806 38.19492386511301, 23.168581568836895 38.194743610837584, 23.165645221074513 38.196172864468885, 23.158923805327674 38.19643583280392, 23.15909838061065 38.19793853566824)))"
V_SDI_R_AIOLIKA13.34552,34552,Γ-00473,Ε.Ε.Ν. ΒΟΙΩΤΙΑ ΑΕ,ΑΔ-00578,ΑΛΟΓΟΜΑΝΔΡΙΑ -ΜΑΥΡΟΒΟΥΝΙ,ΟΡΧΟΜΕΝΟΥ,"ΑΚΡΑΙΦΝΙΑΣ,ΟΡΧΟΜΕΝΟΥ",ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,20,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2003-04-30,2003-11-12,"MULTIPOLYGON (((23.11669013175644 38.545433902464005, 23.12109332372414 38.544755110246086, 23.11859815039589 38.540473783109775, 23.123911119455464 38.53760285312527, 23.127551504620968 38.53828789613492, 23.132197864786598 38.5469286775954, 23.134079640371436 38.54694261069395, 23.13629531689079 38.54398509002778, 23.136937044959925 38.545017165436875, 23.141479992690535 38.546077909575544, 23.143258914597713 38.543153098976525, 23.150019103671866 38.541066577170916, 23.148679374721233 38.53985827491476, 23.143030017114427 38.54103919188675, 23.13935142566373 38.543665147552296, 23.136865387718757 38.54141192385089, 23.13336268036794 38.54357591239908, 23.130539979496515 38.53785052529457, 23.12826140926296 38.53650884987703, 23.126803051290764 38.535659886555806, 23.1164557100974 38.5355191795418, 23.1139611619502 38.53871753444352, 23.11669013175644 38.545433902464005)))"
V_SDI_R_AIOLIKA13.34553,34553,Β-00227,ΑΙΟΛΙΚΗ ΖΑΡΑΚΑ ΜΕΤΑΜΟΡΦΩΣΙΣ ΑΕ,ΑΔ-00159,ΜΑΛΙ/ΜΑΔΙ ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΜΟΝΕΜΒΑΣΙΑΣ,"ΖΑΡΑΚΑ,ΜΟΛΑΩΝ",ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,7.65,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-10-22,"MULTIPOLYGON (((22.92940121000634 36.817802261503836, 22.93045226521061 36.81881229870704, 22.933263081385217 36.819053889397566, 22.931765698722206 36.821113717595935, 22.932458956824714 36.82205742253883, 22.936757498205026 36.82013083704025, 22.939877946457383 36.81662512033812, 22.936317283330133 36.81386201056211, 22.92940121000634 36.817802261503836)))"
V_SDI_R_AIOLIKA13.34564,34564,Β-00226,ENERCON ΕΛΛΑΣ Α.Ε.,ΑΔ-00330,ΠΛΑΤΥΒΟΛΟ ΑΧΛΑΔΙΩΝ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,ΝΑΙ,2.5,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2002-07-18,"MULTIPOLYGON (((26.04736337697531 35.15270224628751, 26.047365728287172 35.15323410526216, 26.04695384461014 35.1538811483678, 26.045382248669576 35.15336678445015, 26.042911095219207 35.15375106918444, 26.04201906197715 35.15583060172289, 26.043684854602397 35.157037592353284, 26.04521885648555 35.157363292014345, 26.044862125093356 35.159776381900066, 26.047019031530347 35.1604251020041, 26.04850198395073 35.16046313432611, 26.0492067660963 35.15967590237398, 26.050077820910733 35.15939070433364, 26.050436082939704 35.15923138070064, 26.049902823438114 35.158978966333024, 26.049850112187233 35.158628264910874, 26.049675915150882 35.15781082797199, 26.04926620152806 35.15723177161476, 26.049464282366245 35.15681371963868, 26.04967423824666 35.156431527278315, 26.049862365922333 35.1556169732525, 26.050311112559147 35.154689824674804, 26.050419821110427 35.1542101774742, 26.05034448886621 35.15383281327975, 26.050596286603554 35.15336877401085, 26.049682779306025 35.1528343075866, 26.04849744111534 35.15327807662161, 26.04736337697531 35.15270224628751)), ((26.048028866565723 35.15166325892774, 26.046444304735893 35.15106799012559, 26.04623894636979 35.15207215083302, 26.047358408993123 35.152503995136584, 26.047469391010424 35.1521144640918, 26.048028866565723 35.15166325892774)), ((26.048028866565723 35.15166325892774, 26.049287002756035 35.152372212586094, 26.050579660004388 35.15314367485202, 26.050562018521873 35.15244078584295, 26.05030242547319 35.15215669313159, 26.0505916578696 35.15187232472282, 26.048799438349327 35.15000043954362, 26.0479645201278 35.151285707124444, 26.048028866565723 35.15166325892774)))"
V_SDI_R_AIOLIKA13.34565,34565,00395,ΕΛΛΗΝΙΚΗ ΑΙΟΛΙΚΗ ΚΥΛΙΝΔΡΙΑΣ ΕΠΕ,ΑΔ-00422,ΛΟΦΟΣ ΚΥΛΙΝΔΡΙΑΣ,ΚΙΛΚΙΣ,ΔΟΪΡΑΝΗΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΝΑΙ,10,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((22.78499417132697 41.14349607033887, 22.789582982634073 41.14749612617113, 22.791158801809875 41.14669297719087, 22.79216269804401 41.14523525832533, 22.799879288506798 41.14682019766924, 22.800662604584222 41.14437826903257, 22.797323670644538 41.14320848792266, 22.79368028887979 41.14305328953076, 22.79500378418179 41.13975231701539, 22.795944195274128 41.13524029332442, 22.794100467226393 41.13507688360936, 22.793034010193132 41.13930833320605, 22.791703802797972 41.14232096701933, 22.790344021879434 41.14434242917976, 22.791384157040284 41.14480373134526, 22.79077192339811 41.14569807272986, 22.789816169042098 41.14518360562058, 22.786661821505657 41.142412089631755, 22.78499417132697 41.14349607033887)))"
V_SDI_R_AIOLIKA13.34597,34597,00229,ΔΙΕΘΝΗΣ ΑΙΟΛΙΚΗ ΘΡΑΚΗΣ ΑΕ,ΑΔ-00304,ΜΟΝΑΣΤΗΡΙ,ΑΡΡΙΑΝΩΝ,"ΚΕΧΡΟΥ,ΦΙΛΛΥΡΑΣ",ΡΟΔΟΠΗΣ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,ΝΑΙ,6.75,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2002-03-15,"MULTIPOLYGON (((25.793898987531993 41.203387292396314, 25.792159027378915 41.20358091011903, 25.790494619744646 41.20358574868741, 25.789044275697712 41.20406108548599, 25.788106473686845 41.20432891892977, 25.785203391306947 41.204589566667494, 25.785695945100887 41.20771906455216, 25.789105532329966 41.20741293395213, 25.790613807679705 41.20698217598119, 25.79136871438775 41.20673476450202, 25.792472777168268 41.20673154949281, 25.79329097222217 41.20664050879312, 25.79429164598118 41.20698411242429, 25.796627110094708 41.207097322882646, 25.797606824950034 41.20713160264459, 25.801075091991287 41.20780631806119, 25.802115984891202 41.2047543986963, 25.798230486663872 41.203998509600424, 25.796857334320123 41.20395046658389, 25.795322407025385 41.2038760667916, 25.793898987531993 41.203387292396314)))"
V_SDI_R_AIOLIKA13.34727,34727,00265,ΕΛΛΑΚΤΩΡ Α.Ε.,ΑΔ-00247,ΞΕΡΟΛΙΜΠΑ - ΜΟΝΟΛΑΤΗ,ΑΡΓΟΣΤΟΛΙΟΥ,ΑΡΓΟΣΤΟΛΙΟΥ,ΚΕΦΑΛΛΗΝΙΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΝΑΙ,20,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-12-27,"MULTIPOLYGON (((20.565409449763326 38.2111498813819, 20.561677822867086 38.21231975738114, 20.558740821188977 38.21446624236984, 20.558691194311336 38.214432122126915, 20.55724209774781 38.21527112679664, 20.556146669200583 38.215884609525816, 20.555005681298343 38.21660622580301, 20.55359033487946 38.21710281608024, 20.552574628590627 38.2175900779081, 20.55154813920357 38.21861788045118, 20.55079596732288 38.219879705013746, 20.55000919094339 38.22087127947238, 20.549028329542647 38.22192605319793, 20.54809273482719 38.22264745229086, 20.544211855443784 38.22437991451498, 20.541540931986685 38.225706044953874, 20.540296868664285 38.22643659528281, 20.53872138708506 38.22697815569239, 20.53619897041606 38.22853830365244, 20.53256854522292 38.23004499984013, 20.533734498408148 38.2310893542235, 20.5370678330462 38.22941163728643, 20.539830247598086 38.22799545937315, 20.54107467584166 38.227580229451995, 20.54244438741653 38.22685859562771, 20.545332716732016 38.22588364528118, 20.548848529142 38.22443069166552, 20.550902612325142 38.22312287355014, 20.551666420337757 38.222014193232944, 20.552567131521975 38.22081531393701, 20.553239600023343 38.21976074653325, 20.55414051361641 38.21876906234732, 20.554733870300776 38.21840824210873, 20.556377778483466 38.21803758401143, 20.557083110597898 38.21768212871081, 20.556092099015384 38.2189033353787, 20.565393644296616 38.21658166104879, 20.56521895873772 38.21519821432916, 20.562765372556846 38.21444165714738, 20.565791941043603 38.21224212748195, 20.565409449763326 38.2111498813819)))"
V_SDI_R_AIOLIKA13.34839,34839,Α-00266,ΑΙΓΑΙΟΗΛΕΚΤΡΙΚΗ ΡΟΔΟΚΛΙΝΩΝ ΑΕ,ΑΔ-00036,ΡΟΔΟΚΛΙΝΑ,ΧΙΟΥ,ΑΜΑΝΗΣ,ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-06-18,"MULTIPOLYGON (((25.95200297550101 38.541176407728464, 25.952002777869236 38.542590738032814, 25.954101847397695 38.542590889083016, 25.954102003754873 38.541176558908276, 25.95200297550101 38.541176407728464)))"
V_SDI_R_AIOLIKA13.34813,34813,Γ-00536,ΑΙΟΛΙΚΗ ΜΗΛΟΥ ΑΕ,ΑΔ-00635,ΚΟΥΤΣΟΥΝΟΡΡΑΧΗ,ΜΗΛΟΥ,ΜΗΛΟΥ,ΜΗΛΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2003-05-12,2004-01-30,"MULTIPOLYGON (((24.401122008499858 36.68194671632422, 24.401458524491737 36.682257837452106, 24.40182315575851 36.68232737394518, 24.402147262703327 36.682446934146135, 24.40420602593456 36.68244403871494, 24.404789320045687 36.68242657901871, 24.405415651363448 36.682465033069974, 24.405685637837067 36.68251432612227, 24.40612042182617 36.6825463702489, 24.406117774513298 36.68221311072235, 24.406133611847576 36.681883114604, 24.405891920070992 36.68189529728763, 24.405581931172186 36.681860384341114, 24.40531133210213 36.681781344246026, 24.404885470022986 36.681774346023396, 24.404597234085006 36.681693417064636, 24.404424114034178 36.68161070824223, 24.404346176795205 36.68171884414479, 24.404256724687897 36.681821006204316, 24.404168668419953 36.681886229771244, 24.404074983559514 36.68190463140546, 24.403772669051083 36.68181106437934, 24.403765427702815 36.68173827628799, 24.403558144380998 36.681547486243076, 24.403428146723144 36.68150061696273, 24.403212206094917 36.68148645583027, 24.402889552001685 36.68147118596617, 24.402698710289986 36.68145808386745, 24.402641994008487 36.68129826269708, 24.40208742649413 36.68128329675862, 24.40179965864774 36.681569073049985, 24.401508422652192 36.68195460924122, 24.401122008499858 36.68194671632422)))"
V_SDI_R_AIOLIKA13.34816,34816,Γ-00569,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-00638,ΓΙΔΑΡΙ/ΒΙΓΛΙ (ΕΠΕΚΤΑΣΗ ΠΛΑΚΟΚΕ,ΣΗΤΕΙΑΣ,ΙΤΑΝΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,ΝΑΙ,4.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2003-05-09,2004-02-10,"MULTIPOLYGON (((26.209877696348823 35.16255172084806, 26.21623263938853 35.16608987542954, 26.21672472723764 35.165493972533206, 26.210369812092665 35.16195584253946, 26.209877696348823 35.16255172084806)))"
V_SDI_R_AIOLIKA13.34847,34847,Α-00251,ΑΙΓΑΙΟΗΛΕΚΤΡΙΚΗ ΚΑΡΔΑΜΥΛΩΝ ΑΕ,ΑΔ-00033,ΡΟΧΙΑΔΕΣ,ΧΙΟΥ,ΑΜΑΝΗΣ,ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.28,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-06-18,"MULTIPOLYGON (((25.953470727072645 38.54470783847564, 25.953470633661624 38.54549157542464, 25.95530595964869 38.54549168625882, 25.95530603305643 38.54470794937558, 25.953470727072645 38.54470783847564)))"
V_SDI_R_AIOLIKA13.34853,34853,Α-00265,ΑΙΓΑΙΟΗΛΕΚΤΡΙΚΗ ΜΥΛΟΥ ΑΕ,ΑΔ-00034,ΚΟΜΜΕΝΟΣ ΜΥΛΟΣ/ΝΕΜΟΥΡΙΑ,ΧΙΟΥ,ΑΜΑΝΗΣ,ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-06-18,"MULTIPOLYGON (((25.934430753644385 38.54123672217988, 25.934429992571335 38.54321858768462, 25.936724078809572 38.54321909583986, 25.936724776686983 38.541237230511676, 25.934430753644385 38.54123672217988)))"
V_SDI_R_AIOLIKA13.34854,34854,Β-00112,ΕΝΕΡΓΕΙΑΚΟ ΔΙΚΤΥΟ ΕΠΕ,ΑΔ-00452,ΦΙΚΘΙ,ΚΑΡΥΣΤΟΥ,ΣΤΥΡΕΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,1.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.2142272283018 38.23090659563937, 24.21478639592318 38.23067124925905, 24.21503733479467 38.230526590095245, 24.215117234274743 38.23049940624926, 24.215059655219978 38.23034629952838, 24.21561831034412 38.22993971290672, 24.214017261994147 38.22943794369202, 24.213754582873808 38.229474472254786, 24.213606026001816 38.22946573019079, 24.213411951810674 38.22952015809803, 24.213263579089666 38.229574502663894, 24.212966938097363 38.22971924098373, 24.212704598631085 38.229872928886664, 24.21267040089568 38.229900028303504, 24.212659106607994 38.22994511118972, 24.212670663317756 38.22999015267692, 24.212739505109898 38.23008916526607, 24.21284262369854 38.230188115667374, 24.213094721753485 38.23044000785237, 24.21320937214763 38.23057498692509, 24.213323917672025 38.23067391613817, 24.21348416601669 38.230772762128055, 24.213655734978914 38.23083553735905, 24.213747140075547 38.23083537095393, 24.213827198691842 38.23086226259682, 24.214158330868003 38.230789559074495, 24.2142272283018 38.23090659563937)))"
V_SDI_R_AIOLIKA13.34855,34855,Α-00165,"ΕΝΕΡΓΕΙΑΚΗ ΣΑΜΟΥ Α.Ε. -""ERGON AE""",ΑΔ-00047,ΣΤΡΩΤΟΣ ΠΕΥΚΟΣ,ΔΥΤΙΚΗΣ ΣΑΜΟΥ,ΜΑΡΑΘΟΚΑΜΠΟΥ,ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,1.2,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-06-18,"MULTIPOLYGON (((26.703327466585954 37.73639884246717, 26.703315601712482 37.737281390577934, 26.703110310040643 37.73760185532432, 26.70311306286065 37.737745495138064, 26.703782736440097 37.73798375077581, 26.703478580544978 37.73901064602404, 26.703629143465072 37.739146433046486, 26.703820804639474 37.739126670617, 26.70417410281305 37.73893749926698, 26.70438316503619 37.738375296734795, 26.705118501986295 37.738486815130564, 26.705599306852783 37.738391792842464, 26.705941459915717 37.73816911813256, 26.706061344461073 37.73801831810193, 26.70597468197534 37.737838292459855, 26.705887162784162 37.737770244569276, 26.7056545005644 37.737589382336196, 26.70560545380728 37.737317484152044, 26.705246341512165 37.73766949070623, 26.70512759537264 37.73775187244175, 26.705078598120185 37.73776173802054, 26.704640880962824 37.73768447508023, 26.704838331773832 37.73715505803692, 26.704769759163273 37.736990925448524, 26.70420096255636 37.73677957234659, 26.70406675650321 37.73645214892125, 26.703704427604475 37.73657026131086, 26.703327466585954 37.73639884246717)))"
V_SDI_R_AIOLIKA13.34872,34872,Γ-05795,ΤΕΡΝΑ ΗΛΙΑΚΗ ΠΕΛΟΠΟΝΝΗΣΟΥ ΑΕ,ΑΔ-03403,ΜΟΥΓΓΟΥΛΙΟΣ,"ΑΣΠΡΟΠΥΡΓΟΥ,ΤΑΝΑΓΡΑΣ","ΑΣΠΡΟΠΥΡΓΟΥ,ΔΕΡΒΕΝΟΧΩΡΙΩΝ","ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΒΟΙΩΤΙΑΣ","ΑΤΤΙΚΗΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ",ΝΑΙ,15,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2013-09-10,2014-07-17,"MULTIPOLYGON (((23.62721554217935 38.17574121916324, 23.629071975488777 38.1721330684135, 23.628366681398457 38.17163514875508, 23.62304119988204 38.17047358289657, 23.621661116958695 38.17022580638812, 23.619916715597757 38.16978757173696, 23.616953479687684 38.16884063968653, 23.614024948024152 38.167821646554984, 23.6120881145434 38.167094261570355, 23.61038034442668 38.170522387967736, 23.62721554217935 38.17574121916324)))"
V_SDI_R_AIOLIKA13.34895,34895,Γ-00831,BUSINESS ENERGY ΤΡΟΙΖΗΝΙΑΣ Α.Ε.,ΑΔ-00872,ΑΔΕΡΕΣ,ΤΡΟΙΖΗΝΙΑΣ - ΜΕΘΑΝΩΝ,ΤΡΟΙΖΗΝΟΣ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ,ΝΑΙ,13.95,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-01-26,2005-12-14,"MULTIPOLYGON (((23.276119734558844 37.504838313070714, 23.28616745516548 37.50592698882873, 23.293060062201015 37.50448122194936, 23.292434259861167 37.50245846462008, 23.28583794420765 37.50369867880519, 23.276491145525675 37.50269539178792, 23.276119734558844 37.504838313070714)))"
V_SDI_R_AIOLIKA13.34934,34934,Γ-03125,SOLARBEAM A.E.,ΑΔ-01882,ΜΑΡΚΟΥ ΣΤΡΟΥΓΓΑ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,ΔΙΣΤΟΜΟΥ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,3.74,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2007-12-10,2010-10-04,"MULTIPOLYGON (((22.731132252809424 38.422666509619525, 22.734267638853815 38.42482717785649, 22.738584876019754 38.42096265422471, 22.735449679096497 38.41879309077215, 22.731132252809424 38.422666509619525)))"
V_SDI_R_AIOLIKA13.34988,34988,Α-00263,ΑΙΓΑΙΟΗΛΕΚΤΡΙΚΗ ΡΟΔΟΚΛΙΝΩΝ ΑΕ,ΑΔ-00037,ΤΡΕΙΣ ΜΥΛΟΙ,ΧΙΟΥ,ΑΜΑΝΗΣ,ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.28,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-06-18,"MULTIPOLYGON (((25.946990949009606 38.53923006328863, 25.946990613089483 38.54083357208689, 25.948447309054345 38.54083374352172, 25.948447612511224 38.53923023483374, 25.946990949009606 38.53923006328863)))"
V_SDI_R_AIOLIKA13.34995,34995,Β-00171,ΑΙΟΛΙΚΟ ΠΑΡΚΟ ΡΟΔΟΥ ΑΕ,ΑΔ-00087,ΠΙΘΑΝΙΤΗΣ,ΡΟΔΟΥ,ΑΤΑΒΥΡΟΥ,ΡΟΔΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,11.7,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-07-16,"MULTIPOLYGON (((27.837193973464966 36.19411373932642, 27.838869865605634 36.19565460022331, 27.84042130488015 36.196694905217676, 27.842072951338668 36.19705625941785, 27.84607879514365 36.19714365142969, 27.846641788116138 36.19683723215169, 27.845251720658705 36.19614318717094, 27.84470325420675 36.192205687914196, 27.842219599532964 36.19142064234158, 27.8419731539085 36.18956360795877, 27.841427864818545 36.185004330817435, 27.840366855819774 36.183533842106826, 27.842603525238534 36.183137626233965, 27.845986051328516 36.184128001088446, 27.84632922600432 36.18273851518574, 27.842811751555896 36.18194168499506, 27.8398680534515 36.182423682727105, 27.836767309337574 36.183559331132116, 27.836866722858307 36.18445708741563, 27.840048066604883 36.18474234122487, 27.839672177805266 36.18751131017518, 27.84052341027842 36.189691280921444, 27.840585429469993 36.19095962119719, 27.841105181842305 36.19204207331488, 27.841793130160028 36.19429034483576, 27.842107538792636 36.19503703222687, 27.840942960281687 36.19554295249887, 27.83988457339032 36.194811155468344, 27.83839503555717 36.19344451377253, 27.837193973464966 36.19411373932642)))"
V_SDI_R_AIOLIKA13.35082,35082,Γ-00481,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-00637,ΚΑΛΟΓΗΡΟΣ,ΜΑΛΕΒΙΖΙΟΥ,ΓΑΖΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,ΝΑΙ,3.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2003-05-09,2004-02-10,"MULTIPOLYGON (((24.99340785797222 35.387404497183525, 24.99893011074238 35.387899946413896, 24.99943230666462 35.38576792683354, 25.00091006277789 35.38596307008298, 25.004963138369227 35.38607368605509, 25.005191115383468 35.38315048234048, 24.99846177585402 35.38295382248937, 24.998142745085044 35.38364440898508, 24.99755024527044 35.38492692455717, 24.994299103923854 35.38466519995875, 24.99340785797222 35.387404497183525)))"
V_SDI_R_AIOLIKA13.35163,35163,Γ-00872,Ε.Ε.Ν. ΒΟΙΩΤΙΑ ΑΕ,ΑΔ-00821,ΚΑΛΑΜΟΣ,ΟΡΧΟΜΕΝΟΥ,ΟΡΧΟΜΕΝΟΥ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,10,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-03-22,2005-08-02,"MULTIPOLYGON (((23.045111502789336 38.52095480605671, 23.048680877589987 38.52081263477598, 23.051240656122275 38.52155434408879, 23.054885981878776 38.52174603455416, 23.05859327043393 38.518063046707056, 23.062420071115277 38.51751699477609, 23.062018623955694 38.51574747069715, 23.057341670707093 38.516403822746916, 23.05383210459234 38.51988109910201, 23.049026101432556 38.51898604977083, 23.04499755932965 38.51916053532141, 23.045111502789336 38.52095480605671)))"
